Tarih,Gün,Ürün Adı,Birim,En Düşük Fiyat,En Yüksek Fiyat
15.04.2021,Perşembe,PANCAR (KIRMIZI),Kg,"1,5","2,5"
15.04.2021,Perşembe,PATATES,Kg,"0,8","1,7"
15.04.2021,Perşembe,PATATES (TAZE),Kg,"2,5",4
15.04.2021,Perşembe,PATLICAN (KEMER),Kg,2,"3,5"
15.04.2021,Perşembe,PATLICAN (TOPAK),Kg,2,"3,5"
15.04.2021,Perşembe,PIRASA,Kg,2,3
15.04.2021,Perşembe,ROKA (BAĞ),Bağ,"0,5","1,2"
15.04.2021,Perşembe,SALATALIK (SİLOR),Kg,5,"6,5"
15.04.2021,Perşembe,SALATALIK (MUHTELİF),Kg,"3,5",5
15.04.2021,Perşembe,SARIMSAK (KURU),Kg,15,30
15.04.2021,Perşembe,SEMİZ OTU (BAĞ),Bağ,1,2
15.04.2021,Perşembe,SOGAN (KURU),Kg,"0,8","1,5"
15.04.2021,Perşembe,SOGAN (KIRMIZI),Kg,3,"4,5"
15.04.2021,Perşembe,SOGAN (YEŞİL),Kg,3,5
15.04.2021,Perşembe,TERE,Bağ,"0,5","1,2"
15.04.2021,Perşembe,TURP (MUHTELİF),Kg,"1,5",3
19.04.2021,Pazartesi,BAKLA,Kg,3,"5,5"
19.04.2021,Pazartesi,BİBER (CİN),Kg,13,20
19.04.2021,Pazartesi,BİBER (ÇARLİ),Kg,6,8
19.04.2021,Pazartesi,BİBER (DOLMA),Kg,6,8
19.04.2021,Pazartesi,BİBER (KIL),Kg,10,14
19.04.2021,Pazartesi,BİBER (KAPYA),Kg,"8,5",17
19.04.2021,Pazartesi,BİBER (SİVRİ),Kg,8,11
19.04.2021,Pazartesi,BİBER (KÖY),Kg,8,10
19.04.2021,Pazartesi,BROKOLİ,Kg,6,9
19.04.2021,Pazartesi,DERE OTU,Bağ,"0,5",1
19.04.2021,Pazartesi,DOMATES (Çeri),Kg,8,13
19.04.2021,Pazartesi,DOMATES (MUHTELİF),Kg,"3,5",6
19.04.2021,Pazartesi,DOMATES (SALKIM),Kg,"4,5",7
19.04.2021,Pazartesi,DOMATES (KÖY),Kg,"4,5",7
19.04.2021,Pazartesi,EKŞİ OT (BAĞ),Bağ,"0,5",1
19.04.2021,Pazartesi,ENGİNAR (ADET),Adet,5,7
19.04.2021,Pazartesi,FASULYE (MUHTELİF),Kg,8,15
19.04.2021,Pazartesi,FESLEĞEN (REYHAN),Bağ,1,2
19.04.2021,Pazartesi,HAVUÇ,Kg,1,"2,5"
19.04.2021,Pazartesi,ISPANAK,Kg,"1,5",3
19.04.2021,Pazartesi,KABAK (BAL),Kg,1,2
19.04.2021,Pazartesi,KABAK (BEYAZ),Kg,"2,5",5
19.04.2021,Pazartesi,KABAK (KARA),Kg,"2,5",4
19.04.2021,Pazartesi,KARNABAHAR,Kg,"1,5",3
19.04.2021,Pazartesi,KEREVİZ,Kg,2,4
19.04.2021,Pazartesi,LAHANA (BEYAZ),Kg,"0,7",1
19.04.2021,Pazartesi,LAHANA (MOR),Kg,1,2
19.04.2021,Pazartesi,MANTAR (KÜLTÜR),Kg,7,14
19.04.2021,Pazartesi,MARUL (AYSBERK),Adet,"3,5","4,8"
19.04.2021,Pazartesi,MARUL (MOR),Adet,"2,5",4
